,BND,EFA,GLD,GSG,IEF,TIP,TLT,VEA,VNQ,VTI,VWO
BND,1.0,-0.07579588906788448,-0.08801664789186928,-0.7648621915007691,0.9441931899002755,0.6124784514829698,0.8616037413003608,-0.050370808637213736,0.059157942139500104,-0.21539804127204676,0.4026438533431658
EFA,-0.07579588906788448,1.0,0.731126361434083,0.5410866227725702,-0.3835169025715191,0.4424267083951716,-0.5290727177915239,0.9960473550846971,0.7189777886281596,0.9344255553851197,0.7650557024908475
GLD,-0.08801664789186928,0.731126361434083,1.0,0.421025009819362,-0.3412266950766465,0.22167461731505597,-0.5126329881051733,0.6928167948409869,0.3795654604227181,0.8134952051680066,0.41798134313493074
GSG,-0.7648621915007691,0.5410866227725702,0.421025009819362,1.0,-0.8752935146791672,-0.02575735493932579,-0.8713938862416784,0.5401430235667495,0.528475604197126,0.6559671417203898,0.1396972606664732
IEF,0.9441931899002755,-0.3835169025715191,-0.3412266950766465,-0.8752935146791672,1.0,0.4422145616261981,0.9742213899642518,-0.35677720419879194,-0.1658510262509613,-0.5099341617311736,0.1317854715509603
TIP,0.6124784514829698,0.4424267083951716,0.22167461731505597,-0.02575735493932579,0.4422145616261981,1.0,0.34857408442946136,0.49517221968190595,0.7036335215657079,0.3606836037679793,0.7432083228783025
TLT,0.8616037413003608,-0.5290727177915239,-0.5126329881051733,-0.8713938862416784,0.9742213899642518,0.34857408442946136,1.0,-0.4982176303823173,-0.23674008376229835,-0.6483946590094011,-0.006810627866180029
VEA,-0.050370808637213736,0.9960473550846971,0.6928167948409869,0.5401430235667495,-0.35677720419879194,0.49517221968190595,-0.4982176303823173,1.0,0.7576816016012567,0.9246259893102537,0.8033883506538873
VNQ,0.059157942139500104,0.7189777886281596,0.3795654604227181,0.528475604197126,-0.1658510262509613,0.7036335215657079,-0.23674008376229835,0.7576816016012567,1.0,0.7048932716679381,0.7123487699058707
VTI,-0.21539804127204676,0.9344255553851197,0.8134952051680066,0.6559671417203898,-0.5099341617311736,0.3606836037679793,-0.6483946590094011,0.9246259893102537,0.7048932716679381,1.0,0.6328497010623289
VWO,0.4026438533431658,0.7650557024908475,0.41798134313493074,0.1396972606664732,0.1317854715509603,0.7432083228783025,-0.006810627866180029,0.8033883506538873,0.7123487699058707,0.6328497010623289,1.0
